year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,south dakota,9198,183960,108018.106,57282.454,0.125,0.04,0.015,0.007,0.443,0.252,0.635,152812.73,259037.292,-2127.151,40263.569,52626.388,0.657,0.343,NA,NA,0.171,0.975,0.001,0,0.138,3.462,49.025,4749.035,0.035,0.022,0.01,0.004,0.023,0.368,0.029,0.032,0.027
1960,tennessee,48910,978200,80887.048,38994.503,0.19,0.071,0.029,0.012,0.512,0.076,0.694,190244.724,175995.957,-1832.758,40659.365,47650.997,0.629,0.371,NA,NA,0.144,0.852,0.148,0,0.166,3.502,47.389,1135.245,0.011,0.01,0.004,0.002,0.007,0.001,0.009,0.011,0.021
1960,texas,134505,2690100,101775.092,41706.219,0.223,0.09,0.036,0.015,0.554,0.07,0.731,283130.966,221091.119,-1176.304,49327.313,55137.97,0.638,0.362,NA,NA,0.213,0.882,0.117,0,0.161,3.393,46.39,379.206,0.003,0.003,0.001,0.001,0.002,0,0.002,0.003,0.018
1960,utah,11523,230460,119271.237,63946.337,0.189,0.078,0.032,0.013,0.483,0.1,0.666,265035.973,247895.206,2063.847,53816.14,85057.243,0.705,0.295,NA,NA,0.317,0.983,0.006,0,0.136,3.653,45.299,1044.967,0.007,0.004,0.002,0.001,0.005,0.001,0.006,0.007,0.018
1960,vermont,5083,101660,90476.267,47586.312,0.122,0.04,0.016,0.008,0.445,0.25,0.637,141295.626,218966.838,0,46324.537,53591.794,0.63,0.37,NA,NA,0.181,0.998,0.002,0,0.181,3.397,49.26,2832.769,0.027,0.017,0.007,0.003,0.017,0.371,0.021,0.025,0.021
1960,virginia,52249,1044980,96040.344,42268.41,0.199,0.078,0.032,0.013,0.527,0.071,0.711,260713.151,207952.412,-1450.677,50247.933,59933.252,0.604,0.396,NA,NA,0.199,0.822,0.177,0,0.168,3.559,45.888,1109.904,0.009,0.006,0.002,0.001,0.005,0.001,0.007,0.009,0.02
1960,washington,43097,861940,121143.214,64337.751,0.176,0.066,0.026,0.011,0.489,0.092,0.667,226339.587,260846.452,0,55091.172,77731.481,0.674,0.326,NA,NA,0.247,0.971,0.015,0,0.161,3.118,47.884,3139.065,0.02,0.015,0.007,0.003,0.013,0.002,0.017,0.019,0.028
1960,west virginia,25243,504860,79956.776,36769.87,0.204,0.079,0.032,0.013,0.529,0.081,0.7,191293.93,168822.165,0,43511.601,48442.925,0.633,0.367,NA,NA,0.137,0.956,0.044,0,0.165,3.549,48.893,785.095,0.008,0.008,0.004,0.002,0.005,0.001,0.006,0.008,0.021
1960,wisconsin,52675,1053500,120387.778,68156.836,0.167,0.066,0.026,0.011,0.458,0.1,0.647,245024.877,256604.232,0,55139.433,71909.913,0.66,0.34,NA,NA,0.18,0.982,0.015,0,0.146,3.407,48.122,1725.348,0.01,0.006,0.003,0.001,0.008,0.001,0.009,0.009,0.022
1960,wyoming,4627,92540,117098.372,51103.808,0.188,0.082,0.034,0.014,0.516,0.07,0.71,301938.882,268106.469,-1491.712,54056.761,65673.979,0.599,0.401,NA,NA,0.239,0.983,0.005,0,0.121,3.33,45.77,3229.807,0.018,0.011,0.005,0.002,0.013,0.002,0.017,0.016,0.016
